t1,x1,y1,t2,x2,y2
5.51E-01,2.23E-01,4.15E-01,5.51E-01,2.17E-01,4.07E-01
5.59E-01,2.30E-01,4.28E-01,5.59E-01,2.24E-01,4.20E-01
5.67E-01,2.37E-01,4.40E-01,5.67E-01,2.30E-01,4.33E-01
5.76E-01,2.43E-01,4.52E-01,5.76E-01,2.37E-01,4.45E-01
5.84E-01,2.51E-01,4.66E-01,5.84E-01,2.44E-01,4.58E-01
5.92E-01,2.57E-01,4.78E-01,5.92E-01,2.51E-01,4.70E-01
6.01E-01,2.65E-01,4.92E-01,6.01E-01,2.58E-01,4.84E-01
6.09E-01,2.73E-01,5.06E-01,6.09E-01,2.65E-01,4.97E-01
6.17E-01,2.80E-01,5.20E-01,6.17E-01,2.73E-01,5.12E-01
6.26E-01,2.87E-01,5.32E-01,6.26E-01,2.80E-01,5.24E-01
6.34E-01,2.94E-01,5.46E-01,6.34E-01,2.87E-01,5.37E-01
6.42E-01,3.02E-01,5.61E-01,6.42E-01,2.94E-01,5.52E-01
6.51E-01,3.08E-01,5.73E-01,6.51E-01,3.01E-01,5.65E-01
6.59E-01,3.17E-01,5.93E-01,6.59E-01,3.08E-01,5.79E-01
6.67E-01,3.21E-01,5.98E-01,6.67E-01,3.19E-01,5.93E-01
6.76E-01,3.36E-01,6.32E-01,6.76E-01,3.24E-01,6.07E-01
6.84E-01,3.43E-01,6.37E-01,6.84E-01,3.31E-01,6.13E-01
6.92E-01,3.52E-01,6.50E-01,7.01E-01,3.54E-01,6.53E-01
7.01E-01,3.60E-01,6.66E-01,7.09E-01,3.63E-01,6.67E-01
7.09E-01,3.66E-01,6.82E-01,7.17E-01,3.70E-01,6.83E-01
7.17E-01,3.72E-01,6.98E-01,7.26E-01,3.77E-01,7.00E-01
7.26E-01,3.77E-01,7.14E-01,7.34E-01,3.81E-01,7.16E-01
7.34E-01,3.81E-01,7.33E-01,7.42E-01,3.86E-01,7.35E-01
7.42E-01,3.82E-01,7.51E-01,7.51E-01,3.88E-01,7.52E-01
7.51E-01,3.79E-01,7.68E-01,7.59E-01,3.86E-01,7.70E-01
7.59E-01,3.74E-01,7.86E-01,7.67E-01,3.82E-01,7.85E-01
7.67E-01,3.68E-01,8.02E-01,7.76E-01,3.77E-01,8.03E-01
7.76E-01,3.59E-01,8.16E-01,7.84E-01,3.70E-01,8.19E-01
7.84E-01,3.49E-01,8.30E-01,7.92E-01,3.60E-01,8.33E-01
7.92E-01,3.37E-01,8.42E-01,8.01E-01,3.49E-01,8.45E-01
8.01E-01,3.25E-01,8.52E-01,8.09E-01,3.37E-01,8.58E-01
8.09E-01,3.11E-01,8.62E-01,8.17E-01,3.24E-01,8.68E-01
8.17E-01,2.97E-01,8.68E-01,8.26E-01,3.10E-01,8.76E-01
8.26E-01,2.82E-01,8.72E-01,8.34E-01,2.95E-01,8.84E-01
8.34E-01,2.68E-01,8.75E-01,8.43E-01,2.80E-01,8.88E-01
8.43E-01,2.54E-01,8.77E-01,8.51E-01,2.66E-01,8.91E-01
8.51E-01,2.41E-01,8.78E-01,8.59E-01,2.52E-01,8.93E-01
8.59E-01,2.27E-01,8.75E-01,8.68E-01,2.37E-01,8.93E-01
8.68E-01,2.15E-01,8.71E-01,8.76E-01,2.23E-01,8.80E-01
8.76E-01,2.03E-01,8.66E-01,8.84E-01,2.10E-01,8.76E-01
8.84E-01,1.92E-01,8.61E-01,8.93E-01,2.00E-01,8.71E-01
8.93E-01,1.83E-01,8.55E-01,9.01E-01,1.90E-01,8.65E-01
9.01E-01,1.74E-01,8.48E-01,9.09E-01,1.80E-01,8.59E-01
9.09E-01,1.66E-01,8.40E-01,9.18E-01,1.72E-01,8.53E-01
9.18E-01,1.59E-01,8.32E-01,9.26E-01,1.65E-01,8.46E-01
9.26E-01,1.53E-01,8.25E-01,9.34E-01,1.59E-01,8.39E-01
9.34E-01,1.48E-01,8.16E-01,9.43E-01,1.54E-01,8.31E-01
9.43E-01,1.44E-01,8.09E-01,9.51E-01,1.49E-01,8.25E-01
9.51E-01,1.40E-01,7.99E-01,9.59E-01,1.45E-01,8.16E-01
9.59E-01,1.37E-01,7.92E-01,9.68E-01,1.41E-01,8.08E-01
9.68E-01,1.35E-01,7.85E-01,9.76E-01,1.38E-01,8.01E-01
9.76E-01,1.33E-01,7.76E-01,9.84E-01,1.36E-01,7.93E-01
9.84E-01,1.32E-01,7.67E-01,9.93E-01,1.34E-01,7.83E-01
9.93E-01,1.32E-01,7.60E-01,1.00E+00,1.34E-01,7.77E-01
1.00E+00,1.32E-01,7.53E-01,1.01E+00,1.34E-01,7.71E-01
1.01E+00,1.32E-01,7.45E-01,1.02E+00,1.34E-01,7.64E-01
1.02E+00,1.34E-01,7.34E-01,1.03E+00,1.35E-01,7.55E-01
1.03E+00,1.37E-01,7.27E-01,1.03E+00,1.36E-01,7.44E-01
1.03E+00,1.40E-01,7.17E-01,1.04E+00,1.40E-01,7.38E-01
1.04E+00,1.44E-01,7.11E-01,1.05E+00,1.43E-01,7.28E-01
1.05E+00,1.49E-01,7.02E-01,1.06E+00,1.47E-01,7.21E-01
1.06E+00,1.54E-01,6.94E-01,1.07E+00,1.52E-01,7.13E-01
1.07E+00,1.60E-01,6.86E-01,1.08E+00,1.57E-01,7.05E-01
1.08E+00,1.67E-01,6.78E-01,1.08E+00,1.63E-01,6.96E-01
1.08E+00,1.74E-01,6.71E-01,1.09E+00,1.70E-01,6.91E-01
1.09E+00,1.82E-01,6.62E-01,1.10E+00,1.78E-01,6.83E-01
1.10E+00,1.90E-01,6.55E-01,1.11E+00,1.87E-01,6.77E-01
1.11E+00,1.99E-01,6.46E-01,1.12E+00,1.96E-01,6.70E-01
1.12E+00,2.10E-01,6.39E-01,1.13E+00,2.05E-01,6.60E-01
1.13E+00,2.21E-01,6.32E-01,1.13E+00,2.14E-01,6.50E-01
1.13E+00,2.33E-01,6.26E-01,1.14E+00,2.26E-01,6.44E-01
1.14E+00,2.46E-01,6.24E-01,1.15E+00,2.38E-01,6.38E-01
1.15E+00,2.61E-01,6.22E-01,1.16E+00,2.53E-01,6.35E-01
1.16E+00,2.76E-01,6.23E-01,1.17E+00,2.68E-01,6.32E-01
1.17E+00,2.91E-01,6.24E-01,1.18E+00,2.83E-01,6.33E-01
1.18E+00,3.06E-01,6.29E-01,1.18E+00,2.98E-01,6.35E-01
1.18E+00,3.20E-01,6.34E-01,1.19E+00,3.13E-01,6.37E-01
1.19E+00,3.34E-01,6.42E-01,1.20E+00,3.26E-01,6.42E-01
1.20E+00,3.47E-01,6.50E-01,1.21E+00,3.41E-01,6.50E-01
1.21E+00,3.59E-01,6.61E-01,1.22E+00,3.52E-01,6.57E-01
1.22E+00,3.70E-01,6.73E-01,1.23E+00,3.66E-01,6.70E-01
1.23E+00,3.81E-01,6.88E-01,1.23E+00,3.77E-01,6.83E-01
,,,1.24E+00,3.86E-01,6.97E-01
,,,1.25E+00,3.92E-01,7.11E-01
,,,1.26E+00,4.00E-01,7.31E-01
,,,1.27E+00,4.03E-01,7.48E-01
,,,1.28E+00,4.03E-01,7.64E-01
,,,1.28E+00,4.01E-01,7.81E-01
,,,1.29E+00,3.98E-01,7.98E-01
,,,1.30E+00,3.93E-01,8.15E-01
,,,1.31E+00,3.87E-01,8.27E-01
,,,1.32E+00,3.81E-01,8.42E-01
,,,1.33E+00,3.77E-01,8.61E-01
,,,1.33E+00,3.70E-01,8.71E-01
,,,1.34E+00,3.65E-01,8.91E-01
,,,1.35E+00,3.61E-01,9.07E-01
,,,1.36E+00,3.55E-01,9.18E-01
,,,1.37E+00,3.50E-01,9.35E-01
,,,1.38E+00,3.44E-01,9.48E-01
,,,1.38E+00,3.39E-01,9.61E-01
,,,1.39E+00,3.34E-01,9.77E-01
,,,1.40E+00,3.28E-01,9.90E-01
,,,1.41E+00,3.23E-01,1.00E+00
,,,1.42E+00,3.18E-01,1.02E+00
,,,1.43E+00,3.11E-01,1.03E+00
